# freq ampl
6.944444e+04 4.760095e-09
1.388889e+05 3.167648e-09
2.083333e+05 5.508124e-01
2.777778e+05 2.280309e-09
3.472222e+05 7.872897e-09
4.166667e+05 1.036917e-09
4.861111e+05 4.342171e-09
5.555556e+05 2.781724e-09
6.250000e+05 1.406235e-04
6.944444e+05 1.303453e-09
7.638889e+05 1.250377e-08
8.333333e+05 6.610712e-10
9.027778e+05 6.193964e-09
9.722222e+05 1.980152e-09
1.041667e+06 4.149567e-05
1.111111e+06 1.031006e-09
1.180556e+06 1.585326e-08
1.250000e+06 1.346884e-10
1.319444e+06 9.713928e-09
1.388889e+06 1.496743e-09
1.458333e+06 8.729045e-06
1.527778e+06 6.423945e-10
1.597222e+06 1.984618e-08
1.666667e+06 1.418387e-09
1.736111e+06 1.434260e-08
1.805556e+06 2.086243e-09
1.875000e+06 5.547687e-07
1.944444e+06 2.393148e-10
2.013889e+06 2.184070e-08
2.083333e+06 1.559814e-09
2.152778e+06 1.508356e-08
2.222222e+06 5.056249e-10
2.291667e+06 1.680183e-06
2.361111e+06 1.968977e-09
2.430556e+06 2.529950e-08
2.500000e+06 8.062547e-10
2.569444e+06 1.594342e-08
2.638889e+06 8.026174e-11
2.708333e+06 8.499883e-07
2.777778e+06 8.331276e-10
2.847222e+06 3.338696e-08
2.916667e+06 1.610546e-09
2.986111e+06 1.617811e-08
3.055556e+06 1.750840e-09
3.125000e+06 1.506266e-07
3.194444e+06 8.608486e-10
3.263889e+06 4.106957e-08
3.333333e+06 8.557794e-10
3.402778e+06 1.328473e-08
3.472222e+06 5.561742e-10
3.541667e+06 1.883530e-07
3.611111e+06 3.495934e-09
3.680556e+06 4.706207e-08
3.750000e+06 3.233910e-09
3.819444e+06 8.397708e-09
3.888889e+06 1.254698e-09
3.958333e+06 1.496797e-07
4.027778e+06 2.594069e-09
4.097222e+06 2.771276e-08
4.166667e+06 7.689459e-10
4.236111e+06 3.938924e-09
4.305556e+06 7.633386e-10
4.375000e+06 4.573083e-08
4.444444e+06 2.905215e-10
7.148016e+01 1.187378e+01
